"","names(Core_Data_Frame_Past_Wk2)"
"1","Player"
"2","Date"
"3","Age"
"4","Team"
"5","Home"
"6","Opponent"
"7","Game_number"
"8","Attempted_Passes"
"9","P_Yds"
"10","Season"
"11","Prev_Wk_P_Yds"
"12","Seas_Av_P_Yds"
"13","Prev_Seas_Av_P_Yds"
"14","Prev_Seas_Av_P_Atts"
"15","Prev_Seas_Comp_Perc"
"16","Opp_Prev_Seas_Conc_P_Yds"
"17","Opp_Prev_Seas_Conc_P_Atts"
"18","Opp_Prev_Seas_Conc_R_Yds"
"19","Opp_Prev_Seas_Conc_R_Atts"
"20","Opp_Seas_Av_P_Yds"
"21","Opp_Seas_Av_P_Atts"
"22","Opp_Prev_Wk_P_Yds"
"23","Prev_Wk_R_Yds"
"24","Seas_Av_R_Yds"
"25","Previous_Week_To_Date_This_Season_Average_Rushing_Yards"
"26","Prev_Vs_Opp_P_Yds"
"27","Prev_Vs_Opp_P_Atts"
"28","Precipitation"
"29","WindSpeed"
"30","Temperature"
"31","Outdoors"
"32","Over_B_Line"
"33","Under_B_Line"
"34","mean_line"
